region,price,area,purpose
1,1690000000,3,1
1,2770000000,4,1
1,945000000,2,1
1,1910000000,3,1
1,2730000000,4,1
1,3900000000,5,1
1,3200000000,4,1
1,1500000000,3,1
1,3492500000,4,1
1,4480000000,5,1
1,303000000,1,2
1,3000000000,4,1
1,1900000000,3,1
1,940000000,2,1
1,1620000000,3,1
1,3950000000,5,1
1,750000000,2,3
1,1977000000,3,1
1,1740000000,3,1
1,2830000000,4,1
1,240000000,1,2
1,360000000,1,2
1,1360000000,3,1
1,2080000000,4,1
1,2400000000,4,1
1,3650000000,5,1
1,2080000000,4,1
1,149000000,1,3
1,3660000000,5,1
1,2000000000,3,1
1,2000000000,3,1
1,3620000000,5,1
1,2950000000,4,1
1,2400000000,4,1
1,2635000000,4,1
1,2670000000,4,1
1,830000000,2,3
1,2760000000,4,1
1,230000000,1,2
1,3640000000,5,1
